ticket_id,source_id,source_type,title,description,category,priority,severity,assignee_team,tags,created_at,status,is_duplicate,duplicate_of
TKT-20260323-d2412805-0013,REV-0012,review,[Critical] App Launch: App shows blank white screen after splash. Must reopen 3-,"**Summary**
App shows blank white screen after splash. Must reopen 3-4 times before it loads. iPhone 12 Mini, iOS 16.4, v3.1.0.

**Technical Details**
- Platform: iOS
- Device: iPhone 12 Mini
- OS: iOS 16.4
- App version: v3.1.0
- Affected feature: App Launch

**Steps to Reproduce**
  1. Open the app
  2. Observe the blank white screen after splash
  3. Reopen the app 3-4 times until it loads

**Expected Behavior**
The feature should work without errors.",Bug,Critical,Critical,Engineering,"review,ios,app-launch",2026-03-23T20:18:17.869954+00:00,open,False,
TKT-20260323-d2412805-0014,REV-0021,review,Reminder/snooze feature for tasks is desperately needed.,"**Summary**
Reminder/snooze feature for tasks is desperately needed.

**Expected Behavior**
User satisfaction and resolution.",Feature Request,Medium,,Product,review,2026-03-23T20:18:19.197384+00:00,open,False,
TKT-20260323-d2412805-0015,REV-0013,review,Please add dark mode! My eyes hurt at night. Would be a huge improvement.,"**Summary**
Please add dark mode! My eyes hurt at night. Would be a huge improvement.

**Expected Behavior**
User satisfaction and resolution.",Feature Request,Medium,,Product,review,2026-03-23T20:18:21.219061+00:00,open,False,
TKT-20260323-d2412805-0016,REV-0010,review,[Medium] Battery Usage: Battery drain extreme after 3.1.0 — phone loses 30%/hr w,"**Summary**
Battery drain extreme after 3.1.0 — phone loses 30%/hr with app in background. iPhone 15, iOS 17.1.

**Technical Details**
- Platform: iOS
- Device: iPhone 15
- OS: iOS 17.4
- App version: 3.1.0
- Affected feature: Battery Usage

**Steps to Reproduce**
  1. Open the app on iPhone 15 running iOS 17.4
  2. Leave the app running in the background

**Expected Behavior**
The feature should work without errors.",Bug,Medium,Medium,Engineering,"review,ios,battery-usage",2026-03-23T20:18:22.695799+00:00,open,False,
TKT-20260323-d2412805-0017,REV-0018,review,Multiple account support for switching between work and personal would be amazin,"**Summary**
Multiple account support for switching between work and personal would be amazing.

**Expected Behavior**
User satisfaction and resolution.",Feature Request,Medium,,Product,review,2026-03-23T20:18:23.802906+00:00,open,False,
TKT-20260323-d2412805-0018,REV-0007,review,[High] Search: Search returns no results even for exact matches. Broken sin,"**Summary**
Search returns no results even for exact matches. Broken since v3.0.5. OnePlus 10 Pro, Android 13.

**Technical Details**
- Platform: Android
- Device: OnePlus 10 Pro
- OS: 13
- App version: 3.0.5
- Affected feature: Search

**Steps to Reproduce**
  1. Open the app on a OnePlus 10 Pro running Android 13.
  2. Ensure the app version is 3.0.5.
  3. Attempt to use the search feature by typing exact phrases that are known to exist in notes.

**Expected Behavior**
The feature should work without errors.",Bug,High,High,Engineering,"review,android,search",2026-03-23T20:18:24.945163+00:00,open,False,
TKT-20260323-d2412805-0019,REV-0038,review,[Critical] Data Management: Cancelled subscription because app keeps losing my d,"**Summary**
Cancelled subscription because app keeps losing my data. Completely unreliable.

**Technical Details**
- Platform: Unknown
- Device: Unknown
- OS: Unknown
- App version: Unknown
- Affected feature: Data Management

**Steps to Reproduce**
  1. Use the app normally
  2. Observe data loss

**Expected Behavior**
The feature should work without errors.",Bug,Critical,Critical,Engineering,"review,data-management",2026-03-23T20:18:26.767931+00:00,open,False,
TKT-20260323-d2412805-0020,REV-0017,review,Widget support for the home screen showing daily summary would be great.,"**Summary**
Widget support for the home screen showing daily summary would be great.

**Expected Behavior**
User satisfaction and resolution.",Feature Request,Medium,,Product,review,2026-03-23T20:18:28.180268+00:00,open,False,
TKT-20260323-d2412805-0021,REV-0011,review,[High] Attachment in Messages: Cannot attach files in messages. Tap attachment i,"**Summary**
Cannot attach files in messages. Tap attachment icon — nothing happens. Galaxy S21, Android 13, v3.0.1.

**Technical Details**
- Platform: Android
- Device: Samsung Galaxy S21
- OS: Android 13
- App version: 3.0.1
- Affected feature: Attachment in Messages

**Steps to Reproduce**
  1. Open the app on a Samsung Galaxy S21 running Android 13.
  2. Navigate to the messaging feature.
  3. Tap the attachment icon.

**Expected Behavior**
The feature should work without errors.",Bug,High,High,Engineering,"review,android,attachment-in-messages",2026-03-23T20:18:29.594312+00:00,open,False,
TKT-20260323-d2412805-0022,REV-0009,review,[High] Offline Mode: Offline mode broken — app shows 'No connection' even with f,"**Summary**
Offline mode broken — app shows 'No connection' even with full WiFi. Pixel 6a, Android 12, v3.0.5.

**Technical Details**
- Platform: Android
- Device: Pixel 6a
- OS: Android 12
- App version: v3.0.5
- Affected feature: Offline Mode

**Steps to Reproduce**
  1. Ensure device is connected to WiFi with full signal.
  2. Open the app.
  3. Attempt to use the app in offline mode.

**Expected Behavior**
The feature should work without errors.",Bug,High,High,Engineering,"review,android,offline-mode",2026-03-23T20:18:31.234514+00:00,open,False,
TKT-20260323-d2412805-0023,REV-0035,review,Customer support takes days to respond. Had an issue two weeks with no resolutio,"**Summary**
Customer support takes days to respond. Had an issue two weeks with no resolution.

**Expected Behavior**
User satisfaction and resolution.",Complaint,Medium,,Support,review,2026-03-23T20:18:34.036249+00:00,open,False,
TKT-20260323-d2412805-0024,REV-0005,review,[Critical] App Startup: Crash on startup after latest update. Cleared cache — no,"**Summary**
Crash on startup after latest update. Cleared cache — no help. Galaxy Note 20, Android 12. Steps: just open the app.

**Technical Details**
- Platform: Android
- Device: Samsung Galaxy Note 20
- OS: Android 12
- App version: Unknown
- Affected feature: App Startup

**Steps to Reproduce**
  1. Open the app

**Expected Behavior**
The feature should work without errors.",Bug,Critical,Critical,Engineering,"review,android,app-startup",2026-03-23T20:18:35.157755+00:00,open,False,
TKT-20260323-d2412805-0025,REV-0042,review,[Medium] Analytics: Analytics section never loads properly. Always shows 'Data u,"**Summary**
Analytics section never loads properly. Always shows 'Data unavailable'.

**Technical Details**
- Platform: Unknown
- Device: Unknown
- OS: Unknown
- App version: 3.0.1
- Affected feature: Analytics

**Steps to Reproduce**
  1. Open the app
  2. Navigate to the Analytics section

**Expected Behavior**
The feature should work without errors.",Bug,Medium,Medium,Engineering,"review,analytics",2026-03-23T20:18:37.467548+00:00,open,False,
TKT-20260323-d2412805-0026,REV-0006,review,[Medium] Push Notifications: Push notifications stopped working on iOS 17. Missi,"**Summary**
Push notifications stopped working on iOS 17. Missing important alerts. iPhone 15 Pro, app version 3.1.0.

**Technical Details**
- Platform: iOS
- Device: iPhone 15 Pro
- OS: iOS 17
- App version: 3.1.0
- Affected feature: Push Notifications

**Steps to Reproduce**
  1. Upgrade to iOS 17
  2. Ensure app version is 3.1.0
  3. Wait for a push notification

**Expected Behavior**
The feature should work without errors.",Bug,Medium,Medium,Engineering,"review,ios,push-notifications",2026-03-23T20:18:39.216493+00:00,open,False,
TKT-20260323-d2412805-0027,REV-0037,review,Too many ads in the free tier. They interrupt my workflow constantly.,"**Summary**
Too many ads in the free tier. They interrupt my workflow constantly.

**Expected Behavior**
User satisfaction and resolution.",Complaint,Medium,,Support,review,2026-03-23T20:18:40.365630+00:00,open,False,
TKT-20260323-d2412805-0028,REV-0004,review,[Critical] Home Screen: App freezes on the home screen after about 30 seconds. M,"**Summary**
App freezes on the home screen after about 30 seconds. Must force-close every time. Pixel 7, Android 14.

**Technical Details**
- Platform: Android
- Device: Pixel 7
- OS: Android 14
- App version: Unknown
- Affected feature: Home Screen

**Steps to Reproduce**
  1. Open the app on a Pixel 7 device running Android 14.
  2. Wait for approximately 30 seconds on the home screen.

**Expected Behavior**
The feature should work without errors.",Bug,Critical,Critical,Engineering,"review,android,home-screen",2026-03-23T20:18:40.379779+00:00,open,False,
TKT-20260323-d2412805-0029,REV-0016,review,Please add fingerprint/Face ID login. Typing password every time is annoying.,"**Summary**
Please add fingerprint/Face ID login. Typing password every time is annoying.

**Expected Behavior**
User satisfaction and resolution.",Feature Request,Medium,,Product,review,2026-03-23T20:18:42.020086+00:00,open,False,
TKT-20260323-d2412805-0030,REV-0020,review,Bulk action feature to archive or delete multiple items would save time.,"**Summary**
Bulk action feature to archive or delete multiple items would save time.

**Expected Behavior**
User satisfaction and resolution.",Feature Request,Medium,,Product,review,2026-03-23T20:18:43.307151+00:00,open,False,
TKT-20260323-d2412805-0031,REV-0008,review,[High] Video Upload: Video upload fails with a generic error. Tried on WiFi and ,"**Summary**
Video upload fails with a generic error. Tried on WiFi and LTE. iPhone 13, iOS 16.6, app v3.0.1.

**Technical Details**
- Platform: iOS
- Device: iPhone 13
- OS: iOS 16.6
- App version: 3.0.1
- Affected feature: Video Upload

**Steps to Reproduce**
  1. Attempt to upload a video file using the app.
  2. Observe the error message that appears.

**Expected Behavior**
The feature should work without errors.",Bug,High,High,Engineering,"review,ios,video-upload",2026-03-23T20:18:44.717433+00:00,open,False,
TKT-20260323-d2412805-0032,REV-0002,review,"[High] Login: Cannot login after updating to v3.1.0. Enter credentials, sp","**Summary**
Cannot login after updating to v3.1.0. Enter credentials, spinner spins forever. Tried uninstall/reinstall — still broken. Samsung Galaxy S22, Android 13.

**Technical Details**
- Platform: Android
- Device: Samsung Galaxy S22
- OS: Android 13
- App version: 3.1.0
- Affected feature: Login

**Steps to Reproduce**
  1. Update app to version 3.1.0
  2. Open the app
  3. Enter login credentials
  4. Observe the spinner spinning indefinitely

**Expected Behavior**
The feature should work without errors.",Bug,High,High,Engineering,"review,android,login",2026-03-23T20:18:46.250509+00:00,open,False,
TKT-20260323-d2412805-0033,EML-0001,email,"[Critical] Account Details: App Crash Report — iPhone 15 iOS 17.4

Hi Support,

","**Summary**
App Crash Report — iPhone 15 iOS 17.4

Hi Support,

I'm experiencing repeated crashes on iPhone 15 running iOS 17.4, app version 3.1.0.

Steps:
1. Open app
2. Go to Settings tab
3. Tap 'Account Details'
4. App crashes immediately

Device: iPhone 15 | OS: iOS 17.4 | App: 3.1.0

Please fix ASAP.
John

**Technical Details**
- Platform: iOS
- Device: iPhone 15
- OS: iOS 17.4
- App version: 3.1.0
- Affected feature: Account Details

**Steps to Reproduce**
  1. Open app
  2. Go to Settings tab
  3. Tap 'Account Details'
  4. App crashes immediately

**Expected Behavior**
The feature should work without errors.",Bug,Critical,Critical,Engineering,"email,ios,account-details",2026-03-23T20:18:47.737313+00:00,open,False,
TKT-20260323-d2412805-0034,EML-0002,email,"[High] Login: Login Issue Since v3.0.1 Update

Hello,

Since v3.0.1 I cann","**Summary**
Login Issue Since v3.0.1 Update

Hello,

Since v3.0.1 I cannot log in. Enter credentials, spinner appears for 5 seconds then vanishes — not logged in.

Device: Samsung Galaxy S22 | OS: Android 13 | App: 3.0.1

Steps:
1. Open app
2. Enter valid credentials
3. Tap Sign In
4. Spinner vanishes — not log

**Technical Details**
- Platform: Android
- Device: Samsung Galaxy S22
- OS: Android 13
- App version: 3.0.1
- Affected feature: Login

**Steps to Reproduce**
  1. Open app
  2. Enter valid credentials
  3. Tap Sign In
  4. Spinner vanishes — not logged in

**Expected Behavior**
The feature should work without errors.",Bug,High,High,Engineering,"email,android,login",2026-03-23T20:18:49.064159+00:00,open,False,
TKT-20260323-d2412805-0035,EML-0003,email,"[Critical] Data Management: Data Loss Problem — Urgent

URGENT — Lost 3 weeks of","**Summary**
Data Loss Problem — Urgent

URGENT — Lost 3 weeks of data after the 3.0.5 update. All notes/task history before March 2024 are gone. History tab shows empty state.

Device: Google Pixel 7 | OS: Android 14 | App: 3.0.5

Steps:
1. Update to 3.0.5
2. Open app
3. Navigate to History
4. All previous entr

**Technical Details**
- Platform: Android
- Device: Google Pixel 7
- OS: Android 14
- App version: 3.0.5
- Affected feature: Data Management

**Steps to Reproduce**
  1. Update to 3.0.5
  2. Open app
  3. Navigate to History
  4. All previous entries gone

**Expected Behavior**
The feature should work without errors.",Bug,Critical,Critical,Engineering,"email,android,data-management",2026-03-23T20:18:50.362129+00:00,open,False,
TKT-20260323-d2412805-0036,EML-0004,email,"[Medium] Push Notifications: Notification Bug — Not Receiving Alerts

Hi,

Push ","**Summary**
Notification Bug — Not Receiving Alerts

Hi,

Push notifications stopped working after iOS 17.1 upgrade.

Device: iPhone 14 Pro | OS: iOS 17.1 | App: 3.1.0

Steps:
1. Enable notifications in app and iOS Settings
2. Set reminder 5 minutes from now
3. Wait — no notification arrives

Tried toggling per

**Technical Details**
- Platform: iOS
- Device: iPhone 14 Pro
- OS: iOS 17.1
- App version: 3.1.0
- Affected feature: Push Notifications

**Steps to Reproduce**
  1. Enable notifications in app and iOS Settings
  2. Set reminder 5 minutes from now
  3. Wait — no notification arrives

**Expected Behavior**
The feature should work without errors.",Bug,Medium,Medium,Engineering,"email,ios,push-notifications",2026-03-23T20:18:51.864571+00:00,open,False,
TKT-20260323-d2412805-0037,EML-0005,email,"[High] Data Sync: Sync Failure Between iPad and iPhone

Hello Support,

Data n","**Summary**
Sync Failure Between iPad and iPhone

Hello Support,

Data not syncing between iPhone and iPad. Create item on iPhone — never appears on iPad after 30 minutes.

iPhone 13, iOS 16.6, App v3.0.5
iPad Pro, iPadOS 16.6, App v3.0.5

Steps:
1. Create task on iPhone
2. Open iPad (same account)
3. Task miss

**Technical Details**
- Platform: iOS
- Device: iPhone 13, iPad Pro
- OS: iOS 16.6, iPadOS 16.6
- App version: 3.0.5
- Affected feature: Data Sync

**Steps to Reproduce**
  1. Create task on iPhone
  2. Open iPad (same account)
  3. Task missing
  4. Pull to refresh — still missing

**Expected Behavior**
The feature should work without errors.",Bug,High,High,Engineering,"email,ios,data-sync",2026-03-23T20:18:52.906218+00:00,open,False,
TKT-20260323-d2412805-0038,EML-0006,email,"[Critical] Dashboard: App Freezes on Android 14 — Galaxy S23

Hi,

App freezes c","**Summary**
App Freezes on Android 14 — Galaxy S23

Hi,

App freezes completely on Galaxy S23 running Android 14.

Device: Samsung Galaxy S23 | OS: Android 14 | App: 3.1.0

Steps:
1. Open app
2. Go to Dashboard
3. Scroll down rapidly
4. App becomes unresponsive — must force-kill

Clearing cache does not help.

**Technical Details**
- Platform: Android
- Device: Samsung Galaxy S23
- OS: Android 14
- App version: 3.1.0
- Affected feature: Dashboard

**Steps to Reproduce**
  1. Open app
  2. Go to Dashboard
  3. Scroll down rapidly
  4. App becomes unresponsive — must force-kill

**Expected Behavior**
The feature should work without errors.",Bug,Critical,Critical,Engineering,"email,android,dashboard",2026-03-23T20:18:54.196053+00:00,open,False,
TKT-20260323-d2412805-0039,EML-0007,email,"[High] Search: Search Not Returning Results

Hi,

Search completely broken.","**Summary**
Search Not Returning Results

Hi,

Search completely broken. Type exact phrases that are in my notes — get zero results.

Device: OnePlus 10 Pro | OS: Android 13 | App: 3.0.5

Steps:
1. Navigate to Search
2. Type 'meeting notes'
3. Results: 'No items found' (I have 20 notes with that phrase)

Please

**Technical Details**
- Platform: Android
- Device: OnePlus 10 Pro
- OS: Android 13
- App version: 3.0.5
- Affected feature: Search

**Steps to Reproduce**
  1. Navigate to Search
  2. Type 'meeting notes'
  3. Observe 'No items found' despite having 20 notes with that phrase

**Expected Behavior**
The feature should work without errors.",Bug,High,High,Engineering,"email,android,search",2026-03-23T20:18:55.594239+00:00,open,False,
TKT-20260323-d2412805-0040,EML-0008,email,"[Critical] File Upload: Crash When Uploading Large Files

Hello,

App crashes up","**Summary**
Crash When Uploading Large Files

Hello,

App crashes uploading files >10MB.

Device: iPhone 13 Pro | OS: iOS 16.6 | App: 3.0.1

Steps:
1. Tap '+' to add attachment
2. Select 15MB PDF from Files
3. Upload progress bar appears
4. At ~60% progress, app crashes

Consistent across multiple files and net

**Technical Details**
- Platform: iOS
- Device: iPhone 13 Pro
- OS: iOS 16.6
- App version: 3.0.1
- Affected feature: File Upload

**Steps to Reproduce**
  1. Tap '+' to add attachment
  2. Select 15MB PDF from Files
  3. Upload progress bar appears
  4. At ~60% progress, app crashes

**Expected Behavior**
The feature should work without errors.",Bug,Critical,Critical,Engineering,"email,ios,file-upload",2026-03-23T20:18:57.097065+00:00,open,False,
TKT-20260323-d2412805-0041,EML-0009,email,"[High] Two-Factor Authentication: Two-Factor Authentication Not Working

Hi Supp","**Summary**
Two-Factor Authentication Not Working

Hi Support,

2FA SMS codes not delivered. Cannot log in at all.

Device: Samsung Galaxy A52 | OS: Android 12 | App: 3.0.5

Steps:
1. Open app
2. Enter email + password
3. 2FA screen appears — wait for SMS
4. SMS never arrives (checked spam, tried resend 5×)

Th

**Technical Details**
- Platform: Android
- Device: Samsung Galaxy A52
- OS: Android 12
- App version: 3.0.5
- Affected feature: Two-Factor Authentication

**Steps to Reproduce**
  1. Open app
  2. Enter email + password
  3. 2FA screen appears — wait for SMS
  4. SMS never arrives (checked spam, tried resend 5×)

**Expected Behavior**
The feature should work without errors.",Bug,High,High,Engineering,"email,android,two-factor-authentication",2026-03-23T20:18:58.761546+00:00,open,False,
TKT-20260323-d2412805-0042,EML-0010,email,"[Critical] Home Screen Widget: Widget Crashes Home Screen

Hello,

Home screen w","**Summary**
Widget Crashes Home Screen

Hello,

Home screen widget crashes launcher when I try to add it.

Device: Pixel 7a | OS: Android 14 | App: 3.1.0

Steps:
1. Long press home screen
2. Select Widgets
3. Find app widget
4. Drag to home screen — launcher crashes

Every time.

**Technical Details**
- Platform: Android
- Device: Pixel 7a
- OS: Android 14
- App version: 3.1.0
- Affected feature: Home Screen Widget

**Steps to Reproduce**
  1. Long press home screen
  2. Select Widgets
  3. Find app widget
  4. Drag to home screen — launcher crashes

**Expected Behavior**
The feature should work without errors.",Bug,Critical,Critical,Engineering,"email,android,home-screen-widget",2026-03-23T20:19:00.417503+00:00,open,False,
TKT-20260323-d2412805-0043,EML-0011,email,"Subscription Price Too High  Hello,  The recent price increase to $15/month is t","**Summary**
Subscription Price Too High

Hello,

The recent price increase to $15/month is too much. Competitors charge $5-8/month for more features. Considering cancelling.

Thanks

**Expected Behavior**
User satisfaction and resolution.",Complaint,Medium,,Support,email,2026-03-23T20:19:01.840645+00:00,open,False,
TKT-20260323-d2412805-0044,EML-0012,email,"Very Slow App Performance  Hi,  The app has become extremely slow. Dashboard tak","**Summary**
Very Slow App Performance

Hi,

The app has become extremely slow. Dashboard takes 8-10 seconds to load, switching tabs takes 3-4 seconds. Considering switching to a competitor.

Frustrated

**Expected Behavior**
User satisfaction and resolution.",Complaint,Medium,,Support,email,2026-03-23T20:19:02.917097+00:00,open,False,
TKT-20260323-d2412805-0045,EML-0013,email,"Poor Customer Support Experience  To Whom It May Concern,  Submitted a ticket 2","**Summary**
Poor Customer Support Experience

To Whom It May Concern,

Submitted a ticket 2 weeks ago about a billing issue and received only one automated response. I am a premium subscriber and this level of support is unacceptable.

Disappointed

**Expected Behavior**
User satisfaction and resolution.",Complaint,Medium,,Support,email,2026-03-23T20:19:04.037583+00:00,open,False,
TKT-20260323-d2412805-0046,EML-0014,email,"Too Many Ads in Free Tier  Hello,  Ads appear every 2-3 actions in the free tier","**Summary**
Too Many Ads in Free Tier

Hello,

Ads appear every 2-3 actions in the free tier. This makes the app nearly unusable without paying. Excessive.

Regards

**Expected Behavior**
User satisfaction and resolution.",Complaint,Medium,,Support,email,2026-03-23T20:19:05.258220+00:00,open,False,
TKT-20260323-d2412805-0047,EML-0015,email,"App Uses Too Much Storage  Hi,  The app uses 600MB on my phone. Far too much. Pl","**Summary**
App Uses Too Much Storage

Hi,

The app uses 600MB on my phone. Far too much. Please add a 'Clear Cache' option in settings or reduce the storage footprint.

Thanks

**Expected Behavior**
User satisfaction and resolution.",Complaint,Medium,,Support,email,2026-03-23T20:19:06.819233+00:00,open,False,
TKT-20260323-d2412805-0048,EML-0016,email,"No Refund for Cancelled Subscription  Hello,  I cancelled my annual subscription","**Summary**
No Refund for Cancelled Subscription

Hello,

I cancelled my annual subscription mid-year and was told I would not receive a refund for unused months. This is against consumer protection rules in my country. I expect a pro-rata refund.

Regards

**Expected Behavior**
User satisfaction and resolution.",Complaint,Medium,,Support,email,2026-03-23T20:19:07.614994+00:00,open,False,
TKT-20260323-d2412805-0049,EML-0017,email,"Quick Question About Storage Limits  Hi,  I'm a free user — what is the storage","**Summary**
Quick Question About Storage Limits

Hi,

I'm a free user — what is the storage limit before I need to upgrade? Can't find this information in the app. Also, love the app — very well designed!
Thanks

**Expected Behavior**
User satisfaction and resolution.",Complaint,Medium,,Support,email,2026-03-23T20:19:08.535084+00:00,open,False,
TKT-20260323-d2412805-0050,EML-0018,email,"Feature Request: Dark Mode Support  Hello,  I love the app but really need dark","**Summary**
Feature Request: Dark Mode Support

Hello,

I love the app but really need dark mode. Use it late at night and the bright white is hard on my eyes. Many apps have this now.

Laura

**Expected Behavior**
User satisfaction and resolution.",Feature Request,Medium,,Product,email,2026-03-23T20:19:08.552713+00:00,open,False,
TKT-20260323-d2412805-0051,EML-0019,email,"Request: Export to PDF Functionality  Hi Team,  Exporting task lists and notes a","**Summary**
Request: Export to PDF Functionality

Hi Team,

Exporting task lists and notes as PDF directly from the app would be incredibly useful. I share progress reports with my manager and currently copy everything manually.

A simple export button would save 30 mins/week.

**Expected Behavior**
User satisfaction and resolution.",Feature Request,Medium,,Product,email,2026-03-23T20:19:09.581893+00:00,open,False,
TKT-20260323-d2412805-0052,EML-0020,email,"Suggestion: Biometric Login  Hello,  Face ID / fingerprint login support would i","**Summary**
Suggestion: Biometric Login

Hello,

Face ID / fingerprint login support would improve daily usability. Typing my long password every time is inconvenient, especially on mobile.
Thanks

**Expected Behavior**
User satisfaction and resolution.",Feature Request,Medium,,Product,email,2026-03-23T20:19:10.866016+00:00,open,False,
TKT-20260323-d2412805-0053,EML-0021,email,"Suggestion for Improvement: Calendar Integration  Hi,  Calendar integration (Goo","**Summary**
Suggestion for Improvement: Calendar Integration

Hi,

Calendar integration (Google/Apple) would make this app a complete productivity solution. Currently switch between two apps to manage tasks and calendar. Even a read-only calendar view would be great.

Best regards

**Expected Behavior**
User satisfaction and resolution.",Feature Request,Medium,,Product,email,2026-03-23T20:19:12.495404+00:00,open,False,
TKT-20260323-d2412805-0054,EML-0022,email,"Feature Request: Team Collaboration  Dear Team,  Our company is evaluating the a","**Summary**
Feature Request: Team Collaboration

Dear Team,

Our company is evaluating the app for enterprise use. One key missing feature is real-time collaboration — multiple users editing the same project simultaneously. This is a deal-breaker for us.

Enterprise Team

**Expected Behavior**
User satisfaction and resolution.",Feature Request,Medium,,Product,email,2026-03-23T20:19:13.784302+00:00,open,False,
TKT-20260323-d2412805-0055,EML-0023,email,"Feedback: Offline Mode Would Be Great  Hello,  I travel frequently and often hav","**Summary**
Feedback: Offline Mode Would Be Great

Hello,

I travel frequently and often have no internet. Full offline mode with sync when back online would make this perfect for frequent travelers.

Thanks

**Expected Behavior**
User satisfaction and resolution.",Feature Request,Medium,,Product,email,2026-03-23T20:19:15.124884+00:00,open,False,
TKT-20260323-d2412805-0056,EML-0024,email,"Request: Apple Watch App  Hello,  An Apple Watch companion app would be a great","**Summary**
Request: Apple Watch App

Hello,

An Apple Watch companion app would be a great addition. Checking and ticking off tasks from my wrist would save a lot of time.

Thank you

**Expected Behavior**
User satisfaction and resolution.",Feature Request,Medium,,Product,email,2026-03-23T20:19:16.769542+00:00,open,False,
TKT-20260323-d2412805-0057,EML-0025,email,"Suggestion: Custom Themes  Hi Team,  Custom color themes beyond light/dark would","**Summary**
Suggestion: Custom Themes

Hi Team,

Custom color themes beyond light/dark would let users personalise the experience. Custom accent colors would be a nice touch.

Keep up the work!

**Expected Behavior**
User satisfaction and resolution.",Feature Request,Medium,,Product,email,2026-03-23T20:19:18.478620+00:00,open,False,
