source_id,source_type,category,priority,technical_details,suggested_title
EML-0001,email,Bug,Critical,Platform: iOS | Device: iPhone 15 | OS: iOS 17.4 | App: 3.1.0 | Steps: available in feedback text,Fix app crash on affected screen
EML-0002,email,Bug,High,Platform: Android | Device: Samsung Galaxy S22 | OS: Android 13 | App: 3.0.1 | Steps: available in feedback text,Fix login failure after update
EML-0003,email,Bug,Critical,Platform: Android | Device: Pixel 7 | OS: Android 14 | App: 3.0.5 | Steps: available in feedback text,Fix data sync and loss issue
EML-0004,email,Bug,Medium,Platform: iOS | Device: iPhone 14 Pro | OS: iOS 17.1 | App: 3.1.0 | Steps: available in feedback text,Fix push notifications not delivered
EML-0005,email,Bug,High,Platform: iOS | Device: iPhone 13 | OS: iOS 16.6 | App: 3.0.5 | Steps: available in feedback text,Fix data sync and loss issue
EML-0006,email,Bug,High,Platform: Android | Device: Samsung Galaxy S23 | OS: Android 14 | App: 3.1.0 | Steps: available in feedback text,Fix app freeze and unresponsiveness
EML-0007,email,Bug,High,Platform: Android | Device: OnePlus 10 Pro | OS: Android 13 | App: 3.0.5 | Steps: available in feedback text,Fix search returning no results
EML-0008,email,Bug,Critical,Platform: iOS | Device: iPhone 13 Pro | OS: iOS 16.6 | App: 3.0.1 | Steps: available in feedback text,Fix app crash on affected screen
EML-0009,email,Bug,Critical,Platform: Android | Device: Samsung Galaxy A52 | OS: Android 12 | App: 3.0.5 | Steps: available in feedback text,Fix 2FA SMS codes not delivered
EML-0010,email,Bug,Critical,Platform: Android | Device: Pixel 7a | OS: Android 14 | App: 3.1.0 | Steps: available in feedback text,Fix app crash on affected screen
EML-0011,email,Complaint,Medium,,Review pricing and refund policy
EML-0012,email,Complaint,Medium,,Investigate and fix performance issues
EML-0013,email,Complaint,High,,Improve customer support response time
EML-0014,email,Complaint,Low,,Review ad frequency in free tier
EML-0015,email,Complaint,Low,,Reduce app storage footprint
EML-0016,email,Complaint,High,,Review pricing and refund policy
EML-0017,email,Complaint,Low,,Reduce app storage footprint
EML-0018,email,Feature Request,Medium,,Add dark mode to app settings
EML-0019,email,Feature Request,High,,Add PDF export functionality
EML-0020,email,Feature Request,Medium,,Add biometric login support
EML-0021,email,Feature Request,Medium,,Add calendar integration feature
EML-0022,email,Feature Request,High,,Add real-time team collaboration
EML-0023,email,Feature Request,Medium,,Add full offline mode with sync
EML-0024,email,Feature Request,Medium,,Add Apple Watch companion app
EML-0025,email,Feature Request,High,,Add real-time team collaboration
EML-0026,email,Praise,Low,,Log positive user feedback
EML-0027,email,Praise,Low,,Log positive user feedback
EML-0028,email,Praise,Low,,Log positive user feedback
EML-0029,email,Praise,Low,,Log positive user feedback
EML-0030,email,Praise,Low,,Log positive user feedback
